Timestamp(ms),Current(uA),D0-D7
843850,11181.048,00000000
843860,11095.887,00000000
843870,11113.392,00000000
843880,10818.423,00000000
843890,10790.160,00000000
843900,11016.023,00000000
843910,11634.919,00000000
843920,11449.705,00000000
843930,11085.348,00000000
843940,11035.669,00000000
843950,10987.869,00000000
843960,10970.117,00000000
843970,11058.850,00000000
843980,10914.323,00000000
843990,11221.394,00000000
844000,11466.596,00000000
844010,11151.231,00000000
844020,11109.105,00000000
844030,10445.127,00000000
844040,10228.467,00000000
844050,10922.270,00000000
844060,11048.123,00000000
844070,11229.856,00000000
844080,10556.583,00000000
844090,10955.913,00000000
844100,10872.778,00000000
844110,10736.502,00000000
844120,10684.607,00000000
844130,11183.459,00000000
844140,11011.360,00000000
844150,10837.578,00000000
844160,11323.784,00000000
844170,11489.678,00000000
844180,11098.581,00000000
844190,11157.043,00000000
844200,11133.651,00000000
844210,11194.737,00000000
844220,10755.958,00000000
844230,10903.223,00000000
844240,10947.793,00000000
844250,10608.525,00000000
844260,11000.677,00000000
844270,10832.503,00000000
844280,10857.727,00000000
844290,10873.571,00000000
844300,10936.041,00000000
844310,11154.771,00000000
844320,11082.384,00000000
844330,11167.952,00000000
844340,11293.215,00000000
844350,11121.015,00000000
844360,11012.450,00000000
844370,10760.464,00000000
844380,10916.359,00000000
844390,11013.811,00000000
844400,10994.301,00000000
844410,10700.494,00000000
844420,11291.775,00000000
844430,11190.894,00000000
844440,11270.712,00000000
844450,11056.134,00000000
844460,11131.561,00000000
844470,11061.194,00000000
844480,10925.730,00000000
844490,11165.260,00000000
844500,10489.785,00000000
844510,11109.913,00000000
844520,10947.128,00000000
844530,11146.475,00000000
844540,11339.597,00000000
844550,11172.653,00000000
844560,10942.580,00000000
844570,11083.322,00000000
844580,11628.909,00000000
844590,11045.401,00000000
844600,11138.171,00000000
844610,10854.086,00000000
844620,10805.388,00000000
844630,10752.766,00000000
844640,10842.143,00000000
844650,10865.521,00000000
844660,10410.326,00000000
844670,10512.864,00000000
844680,11287.350,00000000
844690,11329.179,00000000
844700,10992.515,00000000
844710,10843.528,00000000
844720,10870.256,00000000
844730,10941.189,00000000
844740,10494.017,00000000
844750,10446.647,00000000
844760,10562.625,00000000
844770,10955.447,00000000
844780,10445.136,00000000
844790,11111.234,00000000
844800,11046.899,00000000
844810,10592.186,00000000
844820,11155.550,00000000
844830,10989.903,00000000
844840,10889.463,00000000
844850,10770.355,00000000
844860,10344.162,00000000
844870,10713.717,00000000
844880,10729.756,00000000
844890,10827.602,00000000
844900,10842.498,00000000
844910,11300.203,00000000
844920,10772.579,00000000
844930,10710.436,00000000
844940,11252.906,00000000
844950,18965.404,00000000
844960,22329.457,00000000
844970,24121.805,00000000
844980,24875.746,00000000
844990,24573.389,00000000
845000,24438.424,00000000
845010,23889.707,00000000
845020,19405.975,00000000
845030,15222.312,00000000
845040,14011.810,00000000
845050,12815.642,00000000
845060,12496.034,00000000
845070,12403.788,00000000
845080,12671.568,00000000
845090,12296.774,00000000
845100,12570.769,00000000
845110,12301.846,00000000
845120,13054.833,00000000
845130,12589.150,00000000
845140,12340.894,00000000
845150,12133.021,00000000
845160,12024.637,00000000
845170,12736.789,00000000
845180,13099.055,00000000
845190,13167.377,00000000
845200,12756.986,00000000
845210,13062.445,00000000
845220,12565.466,00000000
845230,12577.378,00000000
845240,12092.845,00000000
845250,12225.680,00000000
845260,12614.183,00000000
845270,12291.010,00000000
845280,11842.093,00000000
845290,12280.954,00000000
845300,12284.491,00000000
845310,12315.847,00000000
845320,12634.832,00000000
845330,12498.675,00000000
845340,12352.920,00000000
845350,12346.497,00000000
845360,12320.424,00000000
845370,12646.911,00000000
845380,12654.083,00000000
845390,13188.651,00000000
845400,13163.449,00000000
845410,12396.241,00000000
845420,12050.165,00000000
845430,12220.968,00000000
845440,12713.056,00000000
845450,13140.299,00000000
845460,12709.350,00000000
845470,13219.271,00000000
845480,12902.676,00000000
845490,12856.780,00000000
845500,12840.963,00000000
