Timestamp(ms),Current(uA),D0-D7
305170,10594.497,00000000
305180,10959.637,00000000
305190,10910.630,00000000
305200,10978.979,00000000
305210,11084.563,00000000
305220,10672.204,00000000
305230,10158.298,00000000
305240,11118.876,00000000
305250,11208.340,00000000
305260,11190.862,00000000
305270,11099.315,00000000
305280,10667.086,00000000
305290,11090.778,00000000
305300,11060.723,00000000
305310,10983.432,00000000
305320,10819.529,00000000
305330,10598.359,00000000
305340,11320.995,00000000
305350,11146.103,00000000
305360,10848.090,00000000
305370,11174.325,00000000
305380,10743.130,00000000
305390,10641.073,00000000
305400,11114.340,00000000
305410,11000.607,00000000
305420,10752.225,00000000
305430,10941.233,00000000
305440,11033.742,00000000
305450,10714.985,00000000
305460,10926.023,00000000
305470,11340.633,00000000
305480,11161.056,00000000
305490,11213.621,00000000
305500,10641.751,00000000
305510,11006.873,00000000
305520,10562.987,00000000
305530,10769.346,00000000
305540,11252.057,00000000
305550,11666.852,00000000
305560,11087.928,00000000
305570,10975.997,00000000
305580,10847.583,00000000
305590,10738.873,00000000
305600,11081.946,00000000
305610,10542.832,00000000
305620,10759.992,00000000
305630,11037.274,00000000
305640,10916.707,00000000
305650,10619.666,00000000
305660,10770.094,00000000
305670,11182.119,00000000
305680,10885.319,00000000
305690,11078.941,00000000
305700,11308.310,00000000
305710,10605.951,00000000
305720,10855.688,00000000
305730,10954.858,00000000
305740,10850.853,00000000
305750,11001.902,00000000
305760,11198.237,00000000
305770,10842.728,00000000
305780,11299.818,00000000
305790,10866.030,00000000
305800,10793.088,00000000
305810,11109.344,00000000
305820,11236.255,00000000
305830,11436.046,00000000
305840,11174.180,00000000
305850,10934.464,00000000
305860,10515.708,00000000
305870,10937.732,00000000
305880,11413.505,00000000
305890,10928.374,00000000
305900,10571.742,00000000
305910,10787.294,00000000
305920,10780.353,00000000
305930,10695.476,00000000
305940,10898.804,00000000
305950,10836.584,00000000
305960,11077.417,00000000
305970,11508.876,00000000
305980,10768.015,00000000
305990,10637.080,00000000
306000,10481.681,00000000
306010,10538.667,00000000
306020,10964.356,00000000
306030,10856.850,00000000
306040,11192.129,00000000
306050,11123.968,00000000
306060,10606.967,00000000
306070,10760.104,00000000
306080,10434.779,00000000
306090,10725.449,00000000
306100,11264.767,00000000
306110,11381.598,00000000
306120,11393.485,00000000
306130,10930.805,00000000
306140,10913.987,00000000
306150,10354.418,00000000
306160,10916.457,00000000
306170,10954.202,00000000
306180,11025.545,00000000
306190,11125.137,00000000
306200,10881.884,00000000
306210,10509.789,00000000
306220,11058.279,00000000
306230,10655.904,00000000
306240,10946.977,00000000
306250,11287.441,00000000
306260,11064.029,00000000
306270,11208.792,00000000
306280,11291.667,00000000
306290,10725.217,00000000
306300,10897.538,00000000
306310,11234.698,00000000
306320,11035.057,00000000
306330,11375.524,00000000
306340,10813.273,00000000
306350,10764.474,00000000
306360,10747.213,00000000
306370,11144.519,00000000
306380,10779.669,00000000
306390,10907.563,00000000
306400,10687.152,00000000
306410,10363.015,00000000
306420,10924.558,00000000
306430,10750.683,00000000
306440,10668.165,00000000
306450,10927.569,00000000
306460,10790.977,00000000
306470,10765.464,00000000
306480,10739.251,00000000
306490,10848.772,00000000
306500,10953.966,00000000
306510,11014.080,00000000
306520,11285.054,00000000
306530,10966.354,00000000
306540,10556.820,00000000
306550,10923.661,00000000
306560,10734.895,00000000
306570,10678.149,00000000
306580,11005.435,00000000
306590,10925.050,00000000
306600,10624.322,00000000
306610,11180.647,00000000
306620,10738.826,00000000
306630,10761.200,00000000
306640,10838.769,00000000
306650,11100.299,00000000
306660,11651.759,00000000
306670,11474.235,00000000
306680,10792.562,00000000
306690,10565.899,00000000
306700,10975.561,00000000
306710,11020.563,00000000
306720,10800.113,00000000
306730,10750.811,00000000
306740,10675.013,00000000
306750,11203.591,00000000
306760,10879.637,00000000
306770,10552.420,00000000
306780,10682.084,00000000
306790,10778.226,00000000
306800,10729.286,00000000
306810,11039.141,00000000
306820,10700.684,00000000
306830,10671.336,00000000
306840,10713.863,00000000
306850,10633.133,00000000
306860,11037.337,00000000
306870,10868.557,00000000
306880,10592.933,00000000
306890,10643.267,00000000
306900,11169.437,00000000
306910,10943.813,00000000
306920,10451.034,00000000
306930,10776.200,00000000
306940,11053.864,00000000
306950,11382.342,00000000
306960,10981.423,00000000
306970,10794.511,00000000
306980,10693.452,00000000
306990,10641.827,00000000
307000,10914.141,00000000
307010,11202.313,00000000
307020,11133.590,00000000
307030,11144.229,00000000
307040,10786.654,00000000
307050,11022.219,00000000
307060,10840.978,00000000
307070,10794.117,00000000
307080,10990.393,00000000
307090,11391.598,00000000
307100,11352.957,00000000
307110,11073.325,00000000
307120,11139.494,00000000
307130,10866.726,00000000
307140,11014.688,00000000
307150,11496.894,00000000
307160,11576.068,00000000
307170,11236.128,00000000
307180,10782.892,00000000
307190,10967.621,00000000
307200,10644.980,00000000
307210,10850.564,00000000
307220,10982.585,00000000
307230,11010.850,00000000
307240,11034.536,00000000
307250,11031.333,00000000
307260,11026.080,00000000
307270,10919.050,00000000
307280,11121.158,00000000
307290,10939.968,00000000
307300,10678.313,00000000
307310,11377.007,00000000
307320,11346.679,00000000
307330,11204.628,00000000
307340,10969.663,00000000
307350,11172.473,00000000
307360,11589.429,00000000
307370,11131.143,00000000
307380,11099.869,00000000
307390,11012.657,00000000
307400,10756.639,00000000
307410,10461.899,00000000
307420,10620.636,00000000
307430,11076.899,00000000
307440,11038.052,00000000
307450,10520.003,00000000
307460,10611.242,00000000
307470,10980.431,00000000
307480,10918.007,00000000
307490,10799.711,00000000
307500,11085.606,00000000
307510,11002.977,00000000
307520,10680.277,00000000
307530,10497.533,00000000
307540,10894.067,00000000
307550,10527.384,00000000
307560,10462.299,00000000
307570,10860.342,00000000
307580,11506.143,00000000
307590,11141.294,00000000
307600,10504.863,00000000
307610,10509.454,00000000
307620,10838.468,00000000
307630,10585.195,00000000
307640,11247.370,00000000
307650,10972.846,00000000
307660,10828.430,00000000
307670,36587.754,00000000
307680,52975.973,00000000
307690,58587.852,00000000
307700,61411.914,00000000
307710,62382.645,00000000
307720,62887.148,00000000
307730,63088.207,00000000
307740,62461.414,00000000
307750,62195.824,00000000
307760,61872.910,00000000
307770,61721.906,00000000
307780,62239.098,00000000
307790,62445.836,00000000
307800,62108.074,00000000
307810,61991.887,00000000
307820,62332.320,00000000
307830,61687.980,00000000
307840,63167.133,00000000
307850,62912.605,00000000
307860,63189.383,00000000
307870,62716.457,00000000
307880,62768.148,00000000
307890,61659.457,00000000
307900,62264.664,00000000
307910,62397.426,00000000
307920,62597.098,00000000
307930,62207.441,00000000
307940,62224.629,00000000
307950,62706.656,00000000
307960,62044.574,00000000
307970,62018.781,00000000
307980,62318.707,00000000
307990,62144.938,00000000
308000,63389.199,00000000
308010,62858.496,00000000
308020,61702.195,00000000
308030,62059.691,00000000
308040,61824.035,00000000
308050,62336.770,00000000
308060,62703.000,00000000
308070,63311.207,00000000
308080,62942.910,00000000
308090,62948.773,00000000
308100,62437.945,00000000
308110,61953.727,00000000
308120,61948.863,00000000
308130,62412.848,00000000
308140,62628.973,00000000
308150,62341.820,00000000
308160,62653.711,00000000
308170,65072.703,00000000
308180,64463.195,00000000
308190,65632.313,00000000
308200,63925.324,00000000
308210,64079.012,00000000
308220,63792.480,00000000
308230,62959.254,00000000
308240,61974.844,00000000
308250,61709.285,00000000
308260,62797.465,00000000
308270,62442.551,00000000
308280,62473.402,00000000
308290,61787.313,00000000
308300,62910.598,00000000
308310,63101.012,00000000
308320,62284.352,00000000
308330,62913.445,00000000
308340,63265.613,00000000
308350,62818.500,00000000
308360,62524.813,00000000
308370,62964.305,00000000
308380,62130.680,00000000
308390,61814.152,00000000
308400,61878.445,00000000
308410,62084.477,00000000
308420,62545.105,00000000
308430,62721.668,00000000
308440,63392.758,00000000
308450,62542.867,00000000
308460,63282.758,00000000
308470,63256.172,00000000
308480,62820.270,00000000
308490,62638.477,00000000
308500,62148.258,00000000
308510,62827.957,00000000
308520,62272.457,00000000
308530,62169.781,00000000
308540,62850.547,00000000
308550,63001.516,00000000
308560,63004.340,00000000
308570,62280.832,00000000
308580,62470.566,00000000
308590,61991.934,00000000
308600,61871.105,00000000
308610,62643.734,00000000
308620,62498.770,00000000
308630,62877.930,00000000
308640,62457.051,00000000
308650,62177.570,00000000
308660,61712.766,00000000
308670,62054.227,00000000
308680,63045.762,00000000
308690,62648.848,00000000
308700,63011.664,00000000
308710,62209.414,00000000
308720,62719.973,00000000
308730,62400.852,00000000
308740,62875.813,00000000
308750,63307.168,00000000
308760,62816.801,00000000
308770,63023.227,00000000
308780,62933.164,00000000
308790,62301.848,00000000
308800,62574.309,00000000
308810,63205.699,00000000
308820,62416.836,00000000
308830,62407.645,00000000
308840,62364.387,00000000
308850,62208.441,00000000
308860,62149.859,00000000
308870,61615.039,00000000
308880,62140.973,00000000
308890,62631.074,00000000
308900,62882.742,00000000
308910,62879.961,00000000
308920,62403.969,00000000
308930,61949.023,00000000
308940,62437.395,00000000
308950,62255.992,00000000
308960,62435.164,00000000
308970,62265.535,00000000
308980,63377.723,00000000
308990,62760.035,00000000
309000,62670.145,00000000
309010,62557.414,00000000
309020,62015.750,00000000
309030,62044.727,00000000
309040,62884.246,00000000
309050,63462.418,00000000
309060,62873.324,00000000
309070,62993.074,00000000
309080,62773.887,00000000
309090,62998.277,00000000
309100,63163.746,00000000
309110,62545.715,00000000
309120,63251.438,00000000
309130,62732.332,00000000
309140,62789.688,00000000
309150,62238.266,00000000
309160,62554.367,00000000
309170,63038.453,00000000
309180,63103.020,00000000
309190,62728.582,00000000
309200,62581.254,00000000
309210,62449.137,00000000
309220,62587.930,00000000
309230,61980.016,00000000
309240,62946.758,00000000
309250,62922.422,00000000
309260,62972.234,00000000
309270,62839.637,00000000
309280,63135.191,00000000
309290,62387.027,00000000
309300,62220.617,00000000
309310,62936.824,00000000
309320,62586.902,00000000
309330,62477.043,00000000
309340,62192.973,00000000
309350,62646.305,00000000
309360,62500.480,00000000
309370,62903.172,00000000
309380,62526.172,00000000
309390,62738.922,00000000
309400,62786.859,00000000
309410,63594.930,00000000
309420,63497.340,00000000
309430,62355.074,00000000
309440,62406.535,00000000
309450,62646.277,00000000
309460,62153.152,00000000
309470,62682.891,00000000
309480,62620.199,00000000
309490,62898.527,00000000
309500,63246.918,00000000
309510,63021.367,00000000
309520,62959.023,00000000
309530,63827.680,00000000
309540,63527.945,00000000
309550,62547.008,00000000
309560,61801.086,00000000
309570,62703.535,00000000
309580,63214.609,00000000
309590,62866.430,00000000
309600,62919.668,00000000
309610,62900.031,00000000
309620,62571.527,00000000
309630,61886.313,00000000
309640,62466.809,00000000
309650,62732.949,00000000
309660,62661.668,00000000
309670,62296.129,00000000
309680,62495.055,00000000
309690,62303.973,00000000
